Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
84832	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
84833	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote
84834	VI01	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
84835	VI01	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
84836	VI02	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
84837	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET
84838	VI01	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	G. TYCE FLAKE
84839	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote	undervote
84840	VI02	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
84841	VI01S	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	undervote	undervote
84842	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote
84843	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
84844	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
84845	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ
84846	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON
84847	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84848	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	undervote	undervote	undervote
84849	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
84850	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
84851	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
84852	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	undervote	undervote	undervote	undervote
84853	VI01	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	DAVID LAURET
84854	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote
84855	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	undervote	undervote
84856	VI01	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote	undervote
84857	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
84858	VI01	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote	undervote
84859	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH
84860	VI01S2	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
84861	VI01	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84862	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH
84863	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER
84864	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH
84865	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH
84866	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84867	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER
84868	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	undervote	undervote	undervote	undervote
84869	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84870	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER
84871	VI01	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	undervote	undervote
84872	VI01	G. TYCE FLAKE	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
84873	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote
84874	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
84875	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
84876	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
84877	VI01	G. TYCE FLAKE	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
84878	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	undervote
84879	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
84880	VI01	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET
84881	VI01	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
86491	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
86492	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
86498	VI01	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	undervote	undervote	undervote
87777	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
88409	VI01	KEITH KUDER	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
88410	VI01	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
88411	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote
88412	VI02	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	overvote	undervote
88413	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
88414	VI02	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS
89030	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
89031	VI01	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS
89032	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER
89033	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
89034	VI01	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE
89035	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET
89075	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote	undervote
89076	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	undervote
89273	VI01	KEITH KUDER	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	undervote	undervote	undervote
89294	VI01S	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
